"Parcela","Cultura","IQS_ANOVA","IQS_Fuzzy","IQS_PLS","IQS_MARS","IQS_RF","IQS_ANOVA_blom","IQS_Fuzzy_blom","IQS_PLS_blom","IQS_MARS_blom","IQS_RF_blom","MetaIQS_Borda"
"MT","Pigeon pea",6.84530959477917,6.20796130273694,8.6625,6.20670983996804,6.2891484271028,0.986120318603346,0.844933179293064,2.20041058121003,0.780349497982251,0.913249926683609,91.8
"MT","Pigeon pea",6.7743770691896,6.20064318619558,7.8816,6.2475186811811,6.28291730646934,0.87857891994897,0.812217801499913,1.19655132690156,0.949055092751712,0.87857891994897,89.6
"MT","Pigeon pea",8.76340297841393,5.90254384098549,7.523,5.90255014173025,5.95420406173956,1.41384503483369,0.603319299671101,1.06464405193839,0.575704675100676,0.603319299671101,85.8
"MT","Pigeon pea",10,5.90618337692156,7.9136,5.90582150944683,5.98214465340372,2.60233042765711,0.631401894239761,1.24545931165828,0.603319299671101,0.659991538619561,89
"MT","Pigeon pea",8.34585308075603,5.91159970662058,7.6663,5.9107285610217,5.97375319182851,1.3534061120182,0.659991538619561,1.10648068751121,0.631401894239761,0.631401894239761,86.8
"CT","Cowpea",2.78444197706755,5.79884601391878,2.7988,5.84354830993322,5.75440131978792,-0.495325504665913,0.469252883812802,-0.575704675100676,0.5217393083884,0.443495452975006,57.6
"CT","Cowpea",2.41859289781542,5.79884601391878,2.0717,5.84344421464319,5.72765126480327,-0.844933179293064,0.469252883812802,-0.749254703224776,0.495325504665913,0.392830813649729,53.4
"CT","Cowpea",2.88763504173611,5.79884601391878,3.1914,5.75592757541058,5.82198385101436,-0.418028984178432,0.469252883812802,-0.418028984178432,0.418028984178433,0.575704675100676,59.6
"CT","Cowpea",3.74655265719648,5.7756632688631,2.8073,5.7653723909324,5.81913312694126,-0.0813228717724495,0.392830813649729,-0.548522282698098,0.443495452975006,0.548522282698098,60.8
"CT","Cowpea",3.75391775550691,5.7756632688631,3.2488,5.75190641517753,5.78462820743403,-0.0580563997946523,0.392830813649729,-0.367879665820457,0.392830813649729,0.5217393083884,61.8
"CT","Cowpea",3.38556511512363,5.7756632688631,2.3434,5.73844043942266,5.77676032648094,-0.174959940165732,0.392830813649729,-0.689131147209014,0.367879665820457,0.495325504665913,58
"CT","Cowpea",7.08799246907773,5.93798832193484,6.4522,6.09729041650048,6.13220264131536,1.0245923925401,0.689131147209014,0.812217801499913,0.749254703224776,0.689131147209014,85.2
"CT","Cowpea",6.65552117434001,6.12537403097872,7.0017,6.0939564743875,6.19836405006451,0.749254703224776,0.749254703224776,0.949055092751712,0.718868052822716,0.749254703224776,85
"CT","Cowpea",6.31547467042452,6.17329088755293,6.3721,6.08947289706314,6.1555662041163,0.689131147209014,0.780349497982251,0.780349497982251,0.689131147209014,0.718868052822716,83.4
"CT","Millet",2.78856162079399,4.72216788598004,1.1922,4.70802543111111,4.77207673414289,-0.469252883812802,-0.294313289581477,-0.986120318603346,-0.294313289581477,-0.246163646661359,36.2
"CT","Millet",1.95282786699972,4.72203394976987,1.2927,4.68002260392934,4.70517677993485,-1.0245923925401,-0.318639363964375,-0.949055092751712,-0.367879665820457,-0.418028984178432,30.6
"CT","Millet",1.86220570840829,4.75507991236895,1.0892,4.68829616650577,4.75856648146284,-1.06464405193839,-0.246163646661359,-1.06464405193839,-0.318639363964375,-0.294313289581477,31.8
"CT","Millet",1.4546256515178,4.95791138292295,1.3293,5.01152113956459,4.93581051260965,-1.47994138903519,-0.174959940165732,-0.913249926683609,-0.104633455614075,-0.128001042354502,34.8
"CT","Millet",1.43205759102614,4.99004976003984,1.4308,4.9843973704671,4.9262222066334,-1.55322089800153,-0.0580563997946523,-0.87857891994897,-0.128001042354502,-0.174959940165732,35.2
"CT","Millet",1.48850421466489,4.95467193298544,1.1477,4.98369933229179,4.93511891214546,-1.41384503483369,-0.19857834735111,-1.0245923925401,-0.151438742677196,-0.151438742677196,33.6
"CT","Millet",2.92957582594825,3.40580442720016,1.8604,3.54007770199808,3.6265030917004,-0.367879665820457,-2.60233042765711,-0.780349497982251,-1.99268184795863,-2.20041058121003,13.8
"CT","Millet",2.6948135598758,3.45207386113184,1.4523,3.53888868701703,3.59706672418547,-0.603319299671101,-2.20041058121003,-0.844933179293064,-2.20041058121003,-2.60233042765711,11.4
"CT","Millet",2.48702996205205,3.6802602116254,1.0361,3.53385823902031,3.6389808273493,-0.749254703224776,-1.8465332589292,-1.19655132690156,-2.60233042765711,-1.99268184795863,9.2
"CT","Sunn hemp",1.66122350108945,3.72047138770167,0.2765,3.79475443061126,3.76660513362504,-1.24545931165828,-1.63594140222522,-1.63594140222522,-1.10648068751121,-1.55322089800153,9.2
"CT","Sunn hemp",1.76762394827103,3.73168037861277,0.6763,3.77301298680723,3.75676616210247,-1.10648068751121,-1.47994138903519,-1.47994138903519,-1.15034938037601,-1.63594140222522,10.2
"CT","Sunn hemp",1.55274888834589,3.74051394619842,0.8274,3.76183167285088,3.8486364121884,-1.29754292861655,-1.3534061120182,-1.24545931165828,-1.29754292861655,-1.19655132690156,11.4
"CT","Sunn hemp",1.01294006340391,3.74454975446863,0,3.75160137407678,3.74880061302915,-1.8465332589292,-1.19655132690156,-2.60233042765711,-1.3534061120182,-1.73166439612225,6.6
"CT","Sunn hemp",1.33295682689172,3.74163489894779,0.8192,3.76540715913446,3.79292001461289,-1.63594140222522,-1.29754292861655,-1.29754292861655,-1.19655132690156,-1.41384503483369,10
"CT","Sunn hemp",1.06522784505851,3.74025134801969,0.2072,3.76402438152289,3.78469930971802,-1.73166439612225,-1.41384503483369,-1.8465332589292,-1.24545931165828,-1.47994138903519,7.6
"CT","Sunn hemp",4.51081456020985,7.14144215530903,4.4689,7.18637330773198,7.00858949597493,0.246163646661359,1.55322089800153,0.294313289581477,2.08535556603183,1.63594140222522,88.7
"CT","Sunn hemp",4.44804019511877,7.14144215530903,3.8757,7.18637330773198,6.99068476631943,0.222308065187877,1.63594140222522,0.0116050210127303,2.08535556603183,1.47994138903519,85.9
"CT","Sunn hemp",4.63937072715394,7.13461034618954,4.8607,7.16036360502164,7.01125745623666,0.270160165313734,1.47994138903519,0.367879665820457,1.73166439612225,1.73166439612225,89
"CT","Pigeon pea",0.332271573523994,4.49510199154229,0.0843,4.4959583050746,4.52849524198764,-2.20041058121003,-0.469252883812802,-2.20041058121003,-0.443495452975006,-0.495325504665913,21.8
"CT","Pigeon pea",0.486384761314417,4.49566509130724,0.2007,4.48359813865841,4.50912962513695,-1.99268184795863,-0.443495452975006,-1.99268184795863,-0.469252883812802,-0.5217393083884,22
"CT","Pigeon pea",1.66973703246529,4.47798763287046,0.6657,4.47000195560059,4.5328753437643,-1.19655132690156,-0.495325504665913,-1.55322089800153,-0.495325504665913,-0.469252883812802,24.6
