Parcela,Cultura,DMG,DMP,RMP,Densidade,Estoque de C,Na,ICV(%),Altura de Plantas,Diâmetro espiga,Comprimento espiga,Número de plantas_ha,N total de espigas_ha,N de espigas comerciais_ha,Peso de espigas comerciais_ha,Produtividade,DMG_norm,DMP_norm,RMP_norm,Densidade_norm,Estoque de C_norm,Na_norm,ICV(%)_norm,Altura de Plantas_norm,Diâmetro espiga_norm,Comprimento espiga_norm,Número de plantas_ha_norm,N total de espigas_ha_norm,N de espigas comerciais_ha_norm,Peso de espigas comerciais_ha_norm,Produtividade_norm,COS,ARQ,STAND,IPACSA,Parcela_Cultura
NT,Millet,-0.5164406585928601,-0.7658278426550124,-0.6411342506239363,0.3349494934153062,0.03413492900364969,13.5,0.35454616252119453,2.15,52.8,16.6,10833.333333333334,10333.333333333334,7666.666666666667,1940,7666.666666666667,0.3936917867342884,0.5085630084682108,9.542455727265171,8.030783659452077,1.6382218638687767,6.554552912223134,6.578947368421053,7.857142857142858,4.9999999999999964,0,0,0,5,5.3081761006289305,5,4.986946310894092,5.474276834145344,2.5,4.054327985564125,NT_Millet
NT,Millet,-0.451651960272847,-0.58088548318525135,-0.5162687217290491,-1.0330128842880626,-0.8778682474876898,12.5,0.35454616252119453,2.3,52.8,16.6,10833.333333333334,10333.333333333334,7666.666666666667,1940,7666.666666666667,0.6352510336765078,1.0865622478282468,9.125496138635222,10,0,6.882690730106645,6.578947368421053,10,4.9999999999999964,0,0,0,5,5.3081761006289305,5,4.887706836521175,4.903976672370067,2.5,3.7499999999999996,NT_Millet
NT,Millet,-0.12031335469400661,0.2011169604854411,0.04040180289571724,-0.35183692588522686,-0.39857677250859264,10.3,1.311151846304792,1.9,52.4,17.4,13666.666666666666,13500,7333.333333333333,1873.3333333333333,7333.333333333333,1.8706193328075635,3.5305497632641227,7.266623517790829,9.662128884245163,0.33805455294991377,7.604593929450369,9.473684210526315,4.285714285714285,4.583333333333331,1.052631578947365,4.285714285714286,3.799999999999999,4.696969696969696,5.056603773584905,4.696969696969696,5.109699214805793,3.8703672002054272,3.598581622764512,4.96450843252256,NT_Millet
NT,Millet,0.632067152587078,1.4497683033581348,1.0409177279726065,-0.5152003461417193,-0.5191285786811469,4.4,1.311151846304792,2,52.4,17.4,13666.666666666666,13500,7333.333333333333,1873.3333333333333,7333.333333333333,4.675807173673371,7.43295226572765,3.925631714609078,10,0,9.540607054963084,9.473684210526315,5.714285714285715,4.583333333333331,1.052631578947365,4.285714285714286,3.799999999999999,4.696969696969696,5.056603773584905,4.696969696969696,5.146496482214255,3.8703672002054272,3.598581622764512,5.037514315219734,NT_Millet
NT,Millet,-0.49793639224517977,-0.6346577026620265,-0.5662970474536031,-0.4881381229881186,-0.49915838048690514,12.5,1.311151846304792,2.1,52.4,17.4,13666.666666666666,13500,7333.333333333333,1873.3333333333333,7333.333333333333,0.4626833973094183,0.9185082549767134,9.292554175377413,9.985889373355947,0.03583735310060953,6.882690730106645,9.473684210526315,7.142857142857145,4.583333333333331,1.052631578947365,4.285714285714286,3.799999999999999,4.696969696969696,5.056603773584905,4.696969696969696,4.894800021329785,4.805219408023148,3.598581622764512,4.7225604846276,NT_Millet
NT,Millet,-0.2686487135583784,-0.1280939663236886,-0.1983713399410335,-1.2798731637867655,-1.0541501752988582,10.533,1.1372235401623194,2.2,57.2,19,16666.666666666668,15166.666666666666,7666.666666666667,1714.9999999999998,7666.666666666667,1.3175633444745936,2.5016688414988635,8.063951269446779,10,0,7.528137817883511,8.94736842105263,8.571428571428577,9.583333333333336,3.1578947368421044,9.42857142857143,5.799999999999999,5,4.459119496855346,5,4.855872291088261,5.7952844190278725,7.5,7.118655672348458,NT_Millet
NT,Millet,-0.05335766293276536,0.3972928864590493,0.171967611763142,0.07752834634446736,-0.12155535626240435,10.533,1.1372235401623194,1.9,57.2,19,16666.666666666668,15166.666666666666,7666.666666666667,1714.9999999999998,7666.666666666667,2.120258033687972,4.14365720018982,6.827289892020442,8.642244147361065,1.170419817325718,7.528137817883511,8.94736842105263,4.285714285714285,9.583333333333336,3.1578947368421044,9.42857142857143,5.799999999999999,5,4.459119496855346,5,4.943815480234361,5.503698021098387,7.5,7.154279380965552,NT_Millet
NT,Millet,-0.5113929288640613,-0.7435703257885334,-0.6274816273262973,0.3177880836105845,0.04351369996383877,10.533,1.1372235401623194,1.95,57.2,19,16666.666666666668,15166.666666666666,7666.666666666667,1714.9999999999998,7666.666666666667,0.41251182516188334,0.5781242915390664,9.496865945647418,8.07154769197934,1.6664022236242848,7.528137817883511,8.94736842105263,5,9.583333333333336,3.1578947368421044,9.42857142857143,5.799999999999999,5,4.459119496855346,5,4.982569656693379,5.7952844190278725,7.5,7.147066219687238,NT_Millet
NT,Sunn hemp,0.8022175091623138,1.4164140384051045,1.1093157737837092,-0.3344969818136594,-0.25757402838660903,8,-1.1238444396898202,2,54.4,18.4,16333.333333333334,15000,6666.666666666667,1725,6666.666666666667,5.31019855777327,7.328710382864591,3.6972322412164065,9.620940773699617,0.7617249968426201,8.359310910582444,2.1052631578947354,5.714285714285715,6.666666666666664,2.3684210526315757,8.857142857142858,5.599999999999998,4.090909090909091,4.496855345911949,4.090909090909091,5.3349546891791215,5.466608472761367,7.500000000000001,6.976487529580299,NT_Sunn hemp
NT,Sunn hemp,0.0381770530551612,0.47124453174715175,0.25471079240115646,-0.28798507632408143,-0.20715498083446376,6.2,-1.1238444396898202,1.9,54.4,18.4,16333.333333333334,15000,6666.666666666667,1725,6666.666666666667,2.4615375721948194,4.374777830685157,6.550988154734702,9.51045959238312,0.9132189297449832,8.949958982772765,2.1052631578947354,4.285714285714285,6.666666666666664,2.3684210526315757,8.857142857142858,5.599999999999998,4.090909090909091,4.496855345911949,4.090909090909091,5.0235153436671185,5.592995241684921,7.500000000000001,6.941005236537003,NT_Sunn hemp
